Year,Anguilla,Antigua and Barbuda,Aruba,Bahamas,Bahrain,Barbados,Belize,Bermuda,"Virgin Islands, British",Cabo Verde,Cayman Islands,Comoros,Cook Islands,Cuba,Curaçao,Dominica,Dominican Republic,Fiji,Grenada,Guinea-Bissau,Guyana,Haiti,Jamaica,Kiribati,Saint Kitts and Nevis,Maldives,Marshall Islands,Mauritius,"Micronesia, Federated States of",Montserrat,Nauru,Niue,Palau,Papua New Guinea,Saint Lucia,Samoa,Sao Tome and Principe,Seychelles,Singapore,Sint Maarten,Solomon Islands,Saint Vincent and the Grenadines,Suriname,Timor-Leste,Tokelau,Tonga,Trinidad and Tobago,Turks and Caicos Islands,Tuvalu,Vanuatu
2000,No Data,0.3,No Data,0.2,0.2,No Data,0.9,No Data,No Data,0.5,No Data,3.1,No Data,0.2,No Data,No Data,0.4,0.4,1.1,3.4,0.2,2,0.1,2.2,No Data,0.1,No Data,0.5,1.2,No Data,No Data,No Data,No Data,1.3,0.3,0.6,1.1,0.7,No Data,No Data,1.4,0.1,0.4,0.9,No Data,1.5,0.2,No Data,No Data,0.9
2005,No Data,0.1,No Data,0.2,0.2,0.1,0.5,No Data,No Data,0.5,No Data,2.7,No Data,0.2,No Data,No Data,0.3,0.3,0.1,3.1,0.2,1.6,0.1,2.3,No Data,0.1,No Data,0.2,1.1,No Data,No Data,No Data,No Data,1.3,0.2,0.5,0.9,0.7,0.1,No Data,2,No Data,0.3,0.6,No Data,1.4,0.1,No Data,No Data,0.8
2010,No Data,0.7,No Data,0.2,0.2,0.7,0.4,No Data,No Data,0.5,No Data,2.7,No Data,0.1,No Data,No Data,0.3,0.3,0.4,2.9,0.2,9,0.1,2.7,No Data,0.1,No Data,0.2,1,No Data,No Data,No Data,No Data,1.3,0.2,0.5,0.8,0.6,No Data,No Data,2.1,0.4,0.3,0.5,No Data,1.5,0.1,No Data,No Data,0.8
2015,No Data,0.6,No Data,0.2,0.2,0.6,0.3,No Data,No Data,0.4,No Data,2.6,No Data,0.1,No Data,No Data,0.5,0.2,0.3,2.2,0.1,1.4,0.1,2.7,No Data,0.1,No Data,1,0.9,No Data,No Data,No Data,No Data,1.4,0.2,0.5,0.7,0.5,0.1,No Data,1.9,No Data,0.3,0.4,No Data,1.4,0.1,No Data,No Data,0.8
2019,No Data,0.7,No Data,0.2,0.3,0.7,0.4,No Data,No Data,0.4,No Data,2.4,No Data,0.2,No Data,No Data,0.4,0.3,0.1,2.3,0.1,1.4,0.1,2.6,No Data,No Data,No Data,0.8,0.9,No Data,No Data,No Data,No Data,1.4,0.1,0.4,0.7,0.5,No Data,No Data,2.3,No Data,0.3,0.4,No Data,1.1,0.1,No Data,No Data,0.7
