Year,Anguilla,Antigua and Barbuda,Aruba,Bahamas,Bahrain,Barbados,Belize,Bermuda,"Virgin Islands, British",Cabo Verde,Cayman Islands,Comoros,Cook Islands,Cuba,Curaçao,Dominica,Dominican Republic,Fiji,Grenada,Guinea-Bissau,Guyana,Haiti,Jamaica,Kiribati,Saint Kitts and Nevis,Maldives,Marshall Islands,Mauritius,"Micronesia, Federated States of",Montserrat,Nauru,Niue,Palau,Papua New Guinea,Saint Lucia,Samoa,Sao Tome and Principe,Seychelles,Singapore,Sint Maarten,Solomon Islands,Saint Vincent and the Grenadines,Suriname,Timor-Leste,Tokelau,Tonga,Trinidad and Tobago,Turks and Caicos Islands,Tuvalu,Vanuatu
2000,No Data,43,No Data,50,64,41,46,No Data,No Data,35,No Data,26,No Data,57,No Data,No Data,45,45,41,17,49,23,37,30,No Data,46,No Data,43,39,No Data,No Data,No Data,No Data,27,42,43,36,46,62,No Data,35,42,41,33,No Data,46,43,No Data,No Data,40
2005,No Data,65,No Data,64,66,68,59,No Data,No Data,54,No Data,31,No Data,72,No Data,No Data,49,53,61,22,63,33,61,35,No Data,49,No Data,52,42,No Data,No Data,No Data,No Data,29,64,40,42,50,68,No Data,36,63,57,32,No Data,47,64,No Data,No Data,39
2010,No Data,69,No Data,64,69,70,64,No Data,No Data,62,No Data,38,No Data,77,No Data,No Data,60,56,65,30,69,42,66,44,No Data,62,No Data,57,49,No Data,No Data,No Data,No Data,36,69,50,52,60,78,No Data,45,68,63,46,No Data,54,69,No Data,No Data,48
2015,No Data,72,No Data,67,72,73,64,No Data,No Data,67,No Data,41,No Data,80,No Data,No Data,63,58,67,38,72,44,68,48,No Data,68,No Data,63,48,No Data,No Data,No Data,No Data,38,71,53,58,66,84,No Data,48,71,67,49,No Data,54,72,No Data,No Data,49
2017,No Data,72,No Data,69,72,74,65,No Data,No Data,68,No Data,42,No Data,81,No Data,No Data,64,59,69,38,73,46,69,50,No Data,71,No Data,64,49,No Data,No Data,No Data,No Data,36,70,54,60,68,85,No Data,49,72,68,50,No Data,55,72,No Data,No Data,50
2019,No Data,72,No Data,70,71,74,67,No Data,No Data,69,No Data,44,No Data,80,No Data,No Data,66,61,70,37,74,47,70,51,No Data,69,No Data,65,50.5,No Data,No Data,No Data,No Data,33,72,53,60,70,86,No Data,50,73,67,53,No Data,56,73,No Data,No Data,52
