Year,Anguilla,Antigua and Barbuda,Aruba,Bahamas,Bahrain,Barbados,Belize,Bermuda,"Virgin Islands, British",Cabo Verde,Cayman Islands,Comoros,Cook Islands,Cuba,Curaçao,Dominica,Dominican Republic,Fiji,Grenada,Guinea-Bissau,Guyana,Haiti,Jamaica,Kiribati,Saint Kitts and Nevis,Maldives,Marshall Islands,Mauritius,"Micronesia, Federated States of",Montserrat,Nauru,Niue,Palau,Papua New Guinea,Saint Lucia,Samoa,Sao Tome and Principe,Seychelles,Singapore,Sint Maarten,Solomon Islands,Saint Vincent and the Grenadines,Suriname,Timor-Leste,Tokelau,Tonga,Trinidad and Tobago,Turks and Caicos Islands,Tuvalu,Vanuatu
2000,No Data,69.5,No Data,220.25,450.5,435.75,146.5,No Data,No Data,216,No Data,285.75,No Data,13427.25,No Data,No Data,3924.5,972.75,131.25,730.75,724,8496,2492.75,130.75,No Data,178.5,No Data,1412.25,126.25,No Data,No Data,No Data,No Data,4179,167.25,167,69.5,89.25,3079.75,No Data,315.75,128.5,373.25,417.5,No Data,89.5,1613.25,No Data,No Data,187.75
2005,No Data,78,No Data,257.5,441,458.25,122.25,No Data,No Data,252.5,No Data,287.75,No Data,14932.75,No Data,No Data,5405,1055.25,150.25,756.75,798.25,9184.25,2225.75,145,No Data,188.75,No Data,1630.25,139,No Data,No Data,No Data,No Data,5390.75,166.75,183.75,72.5,97.75,2878,No Data,386.5,117.75,424,502.75,No Data,88.75,1664.5,No Data,No Data,211.5
2010,No Data,88,No Data,300.25,544.75,461.75,159.5,No Data,No Data,265.75,No Data,313.25,No Data,16404,No Data,No Data,6963,1196.75,189.75,836.25,843.75,10027.25,2683,161.75,No Data,198.25,No Data,1699,137.5,No Data,No Data,No Data,No Data,6490.75,175.75,200.25,86.25,102.75,3354.25,No Data,520.25,135.25,441,596.75,No Data,95.75,1713,No Data,No Data,262
2015,No Data,101,No Data,329.75,571.5,486,191,No Data,No Data,311,No Data,363.75,No Data,17200.5,No Data,No Data,10204.25,1227,162.5,851.75,955,11481.75,3032.75,173.75,No Data,220.75,No Data,1973.25,153.75,No Data,No Data,No Data,No Data,7588.25,201.75,202,95.75,109,3728.75,No Data,618.75,156,510.5,664,No Data,101,1625.75,No Data,No Data,299.75
2019,No Data,112.25,No Data,386.75,774.5,543,229.25,No Data,No Data,399.25,No Data,397.25,No Data,18895.25,No Data,No Data,10635.25,1346,168.75,914.25,1148.75,12473.75,3208.25,197.25,No Data,229.5,No Data,2213,175.75,No Data,No Data,No Data,No Data,8476,240,211.5,105.25,120.5,4306.75,No Data,711,155.75,670.25,797,No Data,100.25,1614.75,No Data,No Data,332.75
