Year,Anguilla,Antigua and Barbuda,Aruba,Bahamas,Bahrain,Barbados,Belize,Bermuda,"Virgin Islands, British",Cabo Verde,Cayman Islands,Comoros,Cook Islands,Cuba,Curaçao,Dominica,Dominican Republic,Fiji,Grenada,Guinea-Bissau,Guyana,Haiti,Jamaica,Kiribati,Saint Kitts and Nevis,Maldives,Marshall Islands,Mauritius,"Micronesia, Federated States of",Montserrat,Nauru,Niue,Palau,Papua New Guinea,Saint Lucia,Samoa,Sao Tome and Principe,Seychelles,Singapore,Sint Maarten,Solomon Islands,Saint Vincent and the Grenadines,Suriname,Timor-Leste,Tokelau,Tonga,Trinidad and Tobago,Turks and Caicos Islands,Tuvalu,Vanuatu
2000,No Data,18.9,No Data,19.8,30.8,17,23.4,No Data,No Data,16.9,No Data,25.3,No Data,18.2,No Data,No Data,14.3,43.1,23,31.1,35.7,34.5,18.2,56,No Data,25.7,No Data,29.1,44.9,No Data,No Data,No Data,No Data,31.4,20.3,33.7,22,24.1,16.5,No Data,34.7,24.3,24,19,No Data,27.6,28.7,No Data,No Data,40.5
2005,No Data,17.4,No Data,20.1,24.8,16.7,18.2,No Data,No Data,16.4,No Data,22.3,No Data,17.5,No Data,No Data,15.3,40.3,22.1,29.3,34.2,33.8,14.1,54.5,No Data,20.7,No Data,27.8,44.6,No Data,No Data,No Data,No Data,35,18.5,33,21.3,23.7,13.1,No Data,35,21,22.7,19.8,No Data,26.1,25.2,No Data,No Data,40.1
2010,No Data,17.9,No Data,20.6,18.2,16.2,17.1,No Data,No Data,14.8,No Data,21.3,No Data,17.3,No Data,No Data,16.7,39.6,22.6,29.1,33.5,33.7,16.1,53,No Data,16.5,No Data,24.4,44.6,No Data,No Data,No Data,No Data,35.4,17,32.4,21.4,21.2,11,No Data,40.4,19.5,20.7,19.9,No Data,26.3,21.9,No Data,No Data,40.4
2015,No Data,18.1,No Data,19.4,16.4,15.6,16.4,No Data,No Data,14.8,No Data,21.4,No Data,16.6,No Data,No Data,21.5,38.5,23.6,26.1,30.9,32.6,16.8,51.7,No Data,12.7,No Data,23.5,45.6,No Data,No Data,No Data,No Data,36.4,17.3,31.8,21.1,20.9,9.9,No Data,40,22.3,20.6,18.6,No Data,26.1,19.3,No Data,No Data,40.1
2019,No Data,17.5,No Data,19.9,16.1,16,16.5,No Data,No Data,17.4,No Data,20.6,No Data,16.6,No Data,No Data,19.1,37.7,23.3,24.9,29.2,31.3,16.9,50.8,No Data,11.6,No Data,23.2,46.3,No Data,No Data,No Data,No Data,36,17.7,31.2,21,21.1,9.5,No Data,39.2,20.7,22.7,19.9,No Data,24.8,17.1,No Data,No Data,39.7
