Year,Anguilla,Antigua and Barbuda,Aruba,Bahamas,Bahrain,Barbados,Belize,Bermuda,"Virgin Islands, British",Cabo Verde,Cayman Islands,Comoros,Cook Islands,Cuba,Curaçao,Dominica,Dominican Republic,Fiji,Grenada,Guinea-Bissau,Guyana,Haiti,Jamaica,Kiribati,Saint Kitts and Nevis,Maldives,Marshall Islands,Mauritius,"Micronesia, Federated States of",Montserrat,Nauru,Niue,Palau,Papua New Guinea,Saint Lucia,Samoa,Sao Tome and Principe,Seychelles,Singapore,Sint Maarten,Solomon Islands,Saint Vincent and the Grenadines,Suriname,Timor-Leste,Tokelau,Tonga,Trinidad and Tobago,Turks and Caicos Islands,Tuvalu,Vanuatu
2000,No Data,No Data,No Data,10.7,22.2,10.2,15,No Data,No Data,20.6,No Data,39.5,44.3,40.8,No Data,No Data,18.7,32.3,No Data,18,30.2,12.3,17.4,68.5,No Data,38.3,28.5,25.5,No Data,No Data,63.4,No Data,26.1,54.1,No Data,39,7.8,28.7,16.4,No Data,43.5,No Data,No Data,53.5,No Data,33.5,No Data,No Data,48.8,25.6
2005,No Data,No Data,No Data,10.7,20,9.7,13,No Data,No Data,17.8,No Data,32.8,38,33.2,No Data,No Data,16.1,29.7,No Data,15,24.1,10.9,14.9,60.4,No Data,34.1,28.4,24.1,No Data,No Data,59.2,No Data,23.7,49.7,No Data,35,7.2,26.2,16.5,No Data,41.3,No Data,No Data,49.5,No Data,32.8,No Data,No Data,45.3,23.3
2010,No Data,No Data,No Data,10.7,18.1,9.2,11.3,No Data,No Data,15.2,No Data,27.7,32.5,27,No Data,No Data,13.9,27.4,No Data,12.7,19.1,9.7,12.8,52.7,No Data,30.6,28.4,22.7,No Data,No Data,55.5,No Data,21.4,45.9,No Data,31.4,6.6,24,16.5,No Data,39.6,No Data,No Data,46,No Data,32.1,No Data,No Data,41.8,21.3
2015,No Data,No Data,No Data,10.6,16.4,8.8,9.7,No Data,No Data,13.1,No Data,23.5,27.9,22,No Data,No Data,12.2,25.1,No Data,10.7,15.1,8.6,11,46.4,No Data,27.6,28.4,21.4,No Data,No Data,51.8,No Data,19.4,42.5,No Data,28.1,6.2,22.1,16.5,No Data,37.9,No Data,No Data,42.5,No Data,31.6,No Data,No Data,38.4,19.4
2018,No Data,No Data,No Data,10.7,15.2,8.5,8.8,No Data,No Data,11.7,No Data,20.8,24.6,18.7,No Data,No Data,10.9,23.4,No Data,9.3,12.6,7.9,9.7,41.7,No Data,25.9,28.4,20.5,No Data,No Data,49.2,No Data,17.9,39.9,No Data,25.9,5.8,20.6,16.6,No Data,36.8,No Data,No Data,39.8,No Data,31.1,No Data,No Data,36,18.2
2019,No Data,No Data,No Data,10.7,15.2,8.5,8.8,No Data,No Data,11.7,No Data,20.8,24.6,18.7,No Data,No Data,10.9,23.4,No Data,9.3,12.6,7.9,9.7,41.7,No Data,25.9,28.4,20.5,No Data,No Data,49.2,No Data,17.9,39.9,No Data,25.9,5.8,20.6,16.6,No Data,36.8,No Data,No Data,39.8,No Data,31.1,No Data,No Data,36,18.2
2020,No Data,No Data,No Data,10.6,14.9,8.5,8.5,No Data,No Data,11.4,No Data,20.3,24,17.9,No Data,No Data,10.6,23.1,No Data,9,12.1,7.7,9.4,40.6,No Data,25.2,28.5,20.2,No Data,No Data,48.5,No Data,17.6,39.3,No Data,25.3,5.7,20.2,16.5,No Data,36.5,No Data,No Data,39.2,No Data,31,No Data,No Data,35.6,17.8
