Year,Anguilla,Antigua and Barbuda,Aruba,Bahamas,Bahrain,Barbados,Belize,Bermuda,"Virgin Islands, British",Cabo Verde,Cayman Islands,Comoros,Cook Islands,Cuba,Curaçao,Dominica,Dominican Republic,Fiji,Grenada,Guinea-Bissau,Guyana,Haiti,Jamaica,Kiribati,Saint Kitts and Nevis,Maldives,Marshall Islands,Mauritius,"Micronesia, Federated States of",Montserrat,Nauru,Niue,Palau,Papua New Guinea,Saint Lucia,Samoa,Sao Tome and Principe,Seychelles,Singapore,Sint Maarten,Solomon Islands,Saint Vincent and the Grenadines,Suriname,Timor-Leste,Tokelau,Tonga,Trinidad and Tobago,Turks and Caicos Islands,Tuvalu,Vanuatu
2000,No Data,5.35746,No Data,5.15375,1.73074,7.03054,5.84387,No Data,No Data,5.67985,No Data,0.15121,2.13328,5.21367,No Data,8.35982,7.12216,3.2978,9.39749,4.42269,7.6665,3.98503,4.51041,2.82188,6.55839,2.12393,No Data,5.51637,3.676815,No Data,5.75862,7.90181,No Data,1.62831,11.17199,4.04368,8.88172,7.47079,2.45721,No Data,1.20573,4.58344,5.28453,0.5554,No Data,1.72588,5.46938,No Data,1.84041,1.10065
2005,No Data,5.84631,No Data,4.64558,1.77477,7.70919,7.19466,No Data,No Data,6.76551,No Data,0.42924,5.97285,5.55476,No Data,8.61201,6.08335,3.08734,8.19155,5.49467,6.69221,3.87191,3.92025,3.34312,7.88354,1.66553,No Data,5.27943,2.93237,No Data,3.57761,7.37406,No Data,1.51408,11.37401,4.21054,9.97667,6.22917,1.77889,No Data,1.61383,5.42107,5.38096,0.31374,No Data,2.13288,6.00736,No Data,1.90631,1.18558
2010,No Data,5.61192,No Data,4.38683,1.71437,8.33328,7.11767,No Data,No Data,7.49331,No Data,0.23896,8.307,5.27848,No Data,9.00297,6.11547,3.2544,7.69463,4.5972,5.78011,2.97229,3.78637,2.85783,6.50911,1.8132,No Data,4.12378,2.900155,No Data,6.03978,6.79194,No Data,1.57998,9.41986,2.92643,8.14097,5.78078,2.18597,No Data,1.59476,6.67594,6.26102,0.2671,No Data,1.38986,6.06647,No Data,1.66235,1.81159
2015,No Data,7.84067,No Data,4.72155,1.38203,10.04097,7.23866,No Data,No Data,6.34459,No Data,0.79587,10.94389,5.96849,No Data,7.82289,6.40787,3.58948,8.47502,5.24317,5.75592,2.812,3.97073,2.01306,6.1314,2.42692,No Data,4.34767,2.354085,No Data,4.17752,9.58232,No Data,2.41811,9.36457,2.69773,7.27337,8.34218,2.0655,No Data,1.56674,6.99907,6.30875,0.5342,No Data,0.38151,6.66782,No Data,1.98168,1.87207
2019,No Data,9.39804,No Data,4.79913,1.13388,10.36815,6.36624,No Data,No Data,6.39839,No Data,1.1487,10.94389,6.25544,No Data,7.23338,6.6765,3.68146,8.95916,5.5435,5.32751,3.02055,4.16106,2.31861,6.33981,2.77579,No Data,4.78129,2.504015,No Data,4.17752,9.92683,No Data,2.12035,9.58923,2.81648,5.79873,8.83899,2.00145,No Data,1.73881,7.15279,7.39647,0.52996,No Data,0.43487,6.51776,No Data,1.31017,2.10431
