Year,Anguilla,Antigua and Barbuda,Aruba,Bahamas,Bahrain,Barbados,Belize,Bermuda,"Virgin Islands, British",Cabo Verde,Cayman Islands,Comoros,Cook Islands,Cuba,Curaçao,Dominica,Dominican Republic,Fiji,Grenada,Guinea-Bissau,Guyana,Haiti,Jamaica,Kiribati,Saint Kitts and Nevis,Maldives,Marshall Islands,Mauritius,"Micronesia, Federated States of",Montserrat,Nauru,Niue,Palau,Papua New Guinea,Saint Lucia,Samoa,Sao Tome and Principe,Seychelles,Singapore,Sint Maarten,Solomon Islands,Saint Vincent and the Grenadines,Suriname,Timor-Leste,Tokelau,Tonga,Trinidad and Tobago,Turks and Caicos Islands,Tuvalu,Vanuatu
2000,No Data,9.2,No Data,25.6,12,14.6,29.5,No Data,No Data,22.9,No Data,26.9,No Data,15.8,No Data,No Data,29.4,9.7,4.9,30.7,26.2,17.5,12.5,8.3,No Data,1.8,No Data,16.1,14.9,No Data,No Data,No Data,No Data,17.4,19.8,14.9,12.3,13.6,6.5,No Data,17.7,4.6,25.7,14.5,No Data,13.3,13.6,No Data,No Data,14.1
2005,No Data,No Data,No Data,20.9,15.6,8.7,35.9,No Data,No Data,23.8,No Data,26.8,No Data,11.6,No Data,No Data,28.9,13,12.4,31.5,28.5,18.5,12.4,10.8,No Data,5,No Data,11.6,No Data,No Data,No Data,No Data,No Data,18.1,13.5,12.8,28.6,10.2,5,No Data,17.5,8.3,26.4,15.6,No Data,13.9,19.2,No Data,No Data,13.9
2010,No Data,5.4,No Data,12.7,10.8,8.9,14,No Data,No Data,23.5,No Data,27.1,No Data,8.3,No Data,No Data,27.8,9.8,5.6,31.5,18,18.7,11.4,5.8,No Data,3,No Data,13.3,2.9,No Data,No Data,No Data,No Data,17.1,9.7,12.9,26.6,14.2,5.1,No Data,17.8,3.7,19.5,15.3,No Data,5.8,20.2,No Data,No Data,13.5
2015,No Data,No Data,No Data,8.3,7.5,13.3,25.5,No Data,No Data,25,No Data,26.6,No Data,9,No Data,No Data,32.9,10.7,8.2,32.1,24.4,18,13.3,3.6,No Data,2.6,No Data,13.8,0.9,No Data,No Data,No Data,No Data,14.1,19,11.4,27.1,13.7,3,No Data,16.9,6.4,11.4,13.1,No Data,6.9,13.1,No Data,No Data,15.5
2019,No Data,No Data,No Data,7.7,5.2,8.2,22.6,No Data,No Data,26.8,No Data,26.6,No Data,8.9,No Data,No Data,64.6,13.5,8,32.2,22.3,18.8,15.1,1.9,No Data,1.6,No Data,12.2,0.2,No Data,No Data,No Data,No Data,12.6,29.8,13,27.9,11.3,2.1,No Data,16.5,7.4,15.3,11.9,No Data,33,9.3,No Data,No Data,14.9
