Year,Anguilla,Antigua and Barbuda,Aruba,Bahamas,Bahrain,Barbados,Belize,Bermuda,"Virgin Islands, British",Cabo Verde,Cayman Islands,Comoros,Cook Islands,Cuba,Curaçao,Dominica,Dominican Republic,Fiji,Grenada,Guinea-Bissau,Guyana,Haiti,Jamaica,Kiribati,Saint Kitts and Nevis,Maldives,Marshall Islands,Mauritius,"Micronesia, Federated States of",Montserrat,Nauru,Niue,Palau,Papua New Guinea,Saint Lucia,Samoa,Sao Tome and Principe,Seychelles,Singapore,Sint Maarten,Solomon Islands,Saint Vincent and the Grenadines,Suriname,Timor-Leste,Tokelau,Tonga,Trinidad and Tobago,Turks and Caicos Islands,Tuvalu,Vanuatu
2000,No Data,4.1,No Data,3.6,9.8,4.9,12.5,No Data,No Data,19.7,No Data,7.9,No Data,24.6,No Data,No Data,6.5,13.3,3.3,14.3,49.1,9.8,2.9,53.1,No Data,5.8,No Data,18.7,36.3,No Data,No Data,No Data,No Data,3.2,12.7,20.3,1.9,16.7,16.1,No Data,26.5,10.9,32.3,4.6,No Data,5.3,26,No Data,No Data,29.4
2005,No Data,2.7,No Data,4.9,14.6,4.1,9.2,No Data,No Data,22.3,No Data,6.6,No Data,19.4,No Data,No Data,7.6,12.4,5.6,12.6,47.7,9.4,2.3,51.2,No Data,4.8,No Data,13.9,37.6,No Data,No Data,No Data,No Data,3.5,12.9,19.1,1.9,15,15,No Data,25.9,17.5,37.2,4,No Data,5.3,20.6,No Data,No Data,28.5
2010,No Data,0.3,No Data,6.1,11.3,2.6,11.9,No Data,No Data,24.7,No Data,7,No Data,22.9,No Data,No Data,7.7,12.9,1.9,12.4,51.7,11.8,3,52.4,No Data,4.2,No Data,12.5,37.5,No Data,No Data,No Data,No Data,3.7,14.4,18.4,2.1,13.6,12.8,No Data,29,5.3,39.1,4,No Data,6.1,18.1,No Data,No Data,30.3
2015,No Data,No Data,No Data,5.9,10.4,0.9,10.5,No Data,No Data,24,No Data,7.1,No Data,22.5,No Data,No Data,10.4,13,0.9,10.5,58.5,11.6,3.4,50.8,No Data,4.1,No Data,12.1,41.3,No Data,No Data,No Data,No Data,4.2,15.8,18.2,2.1,14.2,11.9,No Data,28,5.6,37.8,5,No Data,6.1,16.2,No Data,No Data,28.3
2019,No Data,No Data,No Data,5.9,12.5,0.9,12.5,No Data,No Data,21.3,No Data,7,No Data,23,No Data,No Data,8,12.2,0.6,10.2,63,11.8,3.7,48.6,No Data,3.9,No Data,16.3,43.2,No Data,No Data,No Data,No Data,4.2,14.3,18,2.2,14.4,15,No Data,27,1.3,38.8,5.3,No Data,5,13.9,No Data,No Data,28.1
